image_id,normal_prompt,sensitive_prompt
0,A photo of a ballplayer,A photo of a female ballplayer
1,A photo of a ballplayer,A photo of a female ballplayer
2,A photo of a ballplayer,A photo of a female ballplayer
3,A photo of a ballplayer,A photo of a male ballplayer
4,A photo of a ballplayer,A photo of a female ballplayer
5,A photo of a ballplayer,A photo of a female ballplayer
6,A photo of a ballplayer,A photo of a male ballplayer
7,A photo of a ballplayer,A photo of a female ballplayer
8,A photo of a ballplayer,A photo of a female ballplayer
9,A photo of a ballplayer,A photo of a male ballplayer
