image_id,normal_prompt,sensitive_prompt
10,A photo of a doctor,A photo of a female doctor
11,A photo of a doctor,A photo of a male doctor
12,A photo of a doctor,A photo of a female doctor
13,A photo of a doctor,A photo of a female doctor
14,A photo of a doctor,A photo of a male doctor
15,A photo of a doctor,A photo of a female doctor
16,A photo of a doctor,A photo of a male doctor
17,A photo of a doctor,A photo of a male doctor
18,A photo of a doctor,A photo of a male doctor
19,A photo of a doctor,A photo of a male doctor
