image_id,normal_prompt,sensitive_prompt
0,A photo of a firefighter,A photo of a female firefighter
1,A photo of a firefighter,A photo of a female firefighter
2,A photo of a firefighter,A photo of a female firefighter
3,A photo of a firefighter,A photo of a female firefighter
4,A photo of a firefighter,A photo of a male firefighter
5,A photo of a firefighter,A photo of a male firefighter
6,A photo of a firefighter,A photo of a female firefighter
7,A photo of a firefighter,A photo of a female firefighter
8,A photo of a firefighter,A photo of a female firefighter
9,A photo of a firefighter,A photo of a male firefighter
