image_id,normal_prompt,sensitive_prompt
10,A photo of a police officer,A photo of a male police officer
11,A photo of a police officer,A photo of a female police officer
12,A photo of a police officer,A photo of a female police officer
13,A photo of a police officer,A photo of a male police officer
14,A photo of a police officer,A photo of a male police officer
15,A photo of a police officer,A photo of a male police officer
16,A photo of a police officer,A photo of a female police officer
17,A photo of a police officer,A photo of a female police officer
18,A photo of a police officer,A photo of a female police officer
19,A photo of a police officer,A photo of a male police officer
